,Artist,Track,Popularity,Track_Number,Album_Name,Total_Tracks,Release_Date
0,Yot Club,YKWIM?,87,3,Bipolar,6,2019-05-31
1,Doja Cat,Streets,87,9,Hot Pink,12,2019-11-07
2,Labrinth,Formula,89,2,Euphoria (Original Score from the HBO Series),26,2019-10-04
3,Labrinth,All For Us - from the HBO Original Series Euphoria,87,1,All For Us (from the HBO Original Series Euphoria),1,2019-08-04
4,Harry Styles,Watermelon Sugar,90,2,Fine Line,12,2019-12-13
5,Lewis Capaldi,Someone You Loved,88,4,Divinely Uninspired To A Hellish Extent,12,2019-05-17
6,Wallows,Are You Bored Yet? (feat. Clairo),83,4,Nothing Happens,11,2019-03-22
7,Clairo,Sofia,83,7,Immunity,11,2019-08-02
8,Labrinth,Still Don't Know My Name,86,12,Euphoria (Original Score from the HBO Series),26,2019-10-04
9,Harry Styles,Falling,87,6,Fine Line,12,2019-12-13
10,Julia Michaels,What A Time (feat. Niall Horan),85,6,Inner Monologue Part 1,6,2019-01-24
11,Dayglow,Can I Call You Tonight?,83,2,Fuzzybrain,10,2019-11-14
12,Clairo,Bubble Gum,82,1,Bubble Gum,1,2019-02-22
13,Ariana Grande,7 rings,87,10,"thank u, next",12,2019-02-08
14,Chris Brown,No Guidance (feat. Drake),82,11,Indigo,32,2019-06-28
15,Lewis Capaldi,Before You Go,86,13,Divinely Uninspired To A Hellish Extent (Extended Edition),15,2019-11-22
16,Harry Styles,Adore You,86,3,Fine Line,12,2019-12-13
17,Taylor Swift,Lover,84,3,Lover,18,2019-08-23
18,Billie Eilish,bad guy,86,2,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
19,Harry Styles,Golden,85,1,Fine Line,12,2019-12-13
20,Doja Cat,Say So,84,5,Hot Pink,12,2019-11-07
21,Rex Orange County,Pluto Projector,81,7,Pony,10,2019-10-25
22,Mustard,Ballin' (with Roddy Ricch),81,9,Perfect Ten,10,2019-06-28
23,Labrinth,Forever,85,4,Euphoria (Original Score from the HBO Series),26,2019-10-04
24,Labrinth,Mount Everest,83,13,Imagination & the Misfit Kid,15,2019-11-22
25,jagger finn,Vas,80,3,Triplbt Theme,3,2019-08-28
26,Eyedress,Jealous,81,1,Jealous,3,2019-12-06
27,Liana Flores,rises the moon,79,1,recently,5,2019-04-10
28,Billie Eilish,when the party's over,84,7,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
29,Ariana Grande,"thank u, next",84,11,"thank u, next",12,2019-02-08
30,Arizona Zervas,ROXANNE,82,1,ROXANNE,1,2019-10-10
31,Strawberry Guy,Mrs Magic,78,1,Mrs Magic,1,2019-07-24
32,Cavetown,Juliet,81,1,Animal Kingdom,10,2019-04-12
33,Dayglow,Hot Rod,80,3,Fuzzybrain,10,2019-11-14
34,awfultune,I Met Sarah in the Bathroom,82,1,I Met Sarah in the Bathroom,1,2019-07-31
35,Lizzo,Truth Hurts,78,13,Cuz I Love You (Super Deluxe),16,2019-04-19
36,Billie Eilish,i love you,82,13,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
37,Surfaces,Sunday Best,81,7,Where the Light Is,10,2019-01-06
38,Jonas Brothers,Sucker,83,1,Happiness Begins,14,2019-06-07
39,Billie Eilish,everything i wanted,84,1,everything i wanted,1,2019-11-13
40,Labrinth,When I R.I.P.,83,24,Euphoria (Original Score from the HBO Series),26,2019-10-04
41,Sam Fischer,This City,82,1,This City,1,2019-12-11
